,GAME_ID,PUBLISHER_ID,PUBLISHER_NAME
0,10040,39356,Paradox Interactive
1,10065,39356,Paradox Interactive
2,10715,39356,Paradox Interactive
3,15030,39356,Paradox Interactive
4,15829,39356,Paradox Interactive
5,18272,39356,Paradox Interactive
6,19193,39356,Paradox Interactive
7,19194,39356,Paradox Interactive
8,19236,39356,Paradox Interactive
9,19240,39356,Paradox Interactive
10,19381,39356,Paradox Interactive
11,19674,39356,Paradox Interactive
12,23036,39356,Paradox Interactive
13,38591,39356,Paradox Interactive
14,39193,39356,Paradox Interactive
15,41973,39356,Paradox Interactive
16,42192,39356,Paradox Interactive
17,10053,27617,Square Enix
18,10057,27617,Square Enix
19,10118,27617,Square Enix
20,10121,27617,Square Enix
21,10239,27617,Square Enix
22,1121,27617,Square Enix
23,127659,27617,Square Enix
24,1447,27617,Square Enix
25,16113,27617,Square Enix
26,16118,27617,Square Enix
27,16123,27617,Square Enix
28,19569,27617,Square Enix
29,19592,27617,Square Enix
30,19685,27617,Square Enix
31,2047,27617,Square Enix
32,21810,27617,Square Enix
33,22872,27617,Square Enix
34,22918,27617,Square Enix
35,22924,27617,Square Enix
36,22925,27617,Square Enix
37,23755,27617,Square Enix
38,23775,27617,Square Enix
39,23815,27617,Square Enix
40,241041,27617,Square Enix
41,241042,27617,Square Enix
42,24612,27617,Square Enix
43,24627,27617,Square Enix
44,246481,27617,Square Enix
45,24832,27617,Square Enix
46,25023,27617,Square Enix
47,25047,27617,Square Enix
48,25123,27617,Square Enix
49,25194,27617,Square Enix
50,25300,27617,Square Enix
51,25327,27617,Square Enix
52,25422,27617,Square Enix
53,25496,27617,Square Enix
54,25500,27617,Square Enix
55,25507,27617,Square Enix
56,25518,27617,Square Enix
57,25573,27617,Square Enix
58,25605,27617,Square Enix
59,25823,27617,Square Enix
60,25846,27617,Square Enix
61,26007,27617,Square Enix
62,26076,27617,Square Enix
63,26108,27617,Square Enix
64,26245,27617,Square Enix
65,26334,27617,Square Enix
66,26516,27617,Square Enix
67,267219,27617,Square Enix
68,27147,27617,Square Enix
69,283970,27617,Square Enix
70,295005,27617,Square Enix
71,301511,27617,Square Enix
72,3017,27617,Square Enix
73,31017,27617,Square Enix
74,319107,27617,Square Enix
75,327230,27617,Square Enix
76,330483,27617,Square Enix
77,330491,27617,Square Enix
78,330658,27617,Square Enix
79,331009,27617,Square Enix
80,332474,27617,Square Enix
81,333245,27617,Square Enix
82,333538,27617,Square Enix
83,334620,27617,Square Enix
84,336269,27617,Square Enix
85,336811,27617,Square Enix
86,3427,27617,Square Enix
87,3439,27617,Square Enix
88,3474,27617,Square Enix
89,34938,27617,Square Enix
90,3689,27617,Square Enix
91,37153,27617,Square Enix
92,3730,27617,Square Enix
93,38060,27617,Square Enix
94,39120,27617,Square Enix
95,39905,27617,Square Enix
96,41121,27617,Square Enix
97,42957,27617,Square Enix
98,4440,27617,Square Enix
99,4477,27617,Square Enix
100,4480,27617,Square Enix
101,4513,27617,Square Enix
102,4535,27617,Square Enix
103,4586,27617,Square Enix
104,4749,27617,Square Enix
105,486730,27617,Square Enix
106,4869,27617,Square Enix
107,49869,27617,Square Enix
108,50758,27617,Square Enix
109,5158,27617,Square Enix
110,5170,27617,Square Enix
111,52332,27617,Square Enix
112,52800,27617,Square Enix
113,5286,27617,Square Enix
114,52903,27617,Square Enix
115,52939,27617,Square Enix
116,52943,27617,Square Enix
117,52945,27617,Square Enix
118,52969,27617,Square Enix
119,5297,27617,Square Enix
120,5298,27617,Square Enix
121,53357,27617,Square Enix
122,53597,27617,Square Enix
123,5583,27617,Square Enix
124,56008,27617,Square Enix
125,56178,27617,Square Enix
126,57666,27617,Square Enix
127,57800,27617,Square Enix
128,57908,27617,Square Enix
129,57955,27617,Square Enix
130,59220,27617,Square Enix
131,59221,27617,Square Enix
132,59276,27617,Square Enix
133,59361,27617,Square Enix
134,7689,27617,Square Enix
135,865,27617,Square Enix
136,10116,28279,THQ Nordic
137,1012,28279,THQ Nordic
138,10393,28279,THQ Nordic
139,10395,28279,THQ Nordic
140,10633,28279,THQ Nordic
141,10810,28279,THQ Nordic
142,10824,28279,THQ Nordic
143,10884,28279,THQ Nordic
144,10997,28279,THQ Nordic
145,123,28279,THQ Nordic
146,13038,28279,THQ Nordic
147,13376,28279,THQ Nordic
148,13464,28279,THQ Nordic
149,18635,28279,THQ Nordic
150,18700,28279,THQ Nordic
151,18701,28279,THQ Nordic
152,18706,28279,THQ Nordic
153,18718,28279,THQ Nordic
154,18719,28279,THQ Nordic
155,18720,28279,THQ Nordic
156,18721,28279,THQ Nordic
157,19487,28279,THQ Nordic
158,2361,28279,THQ Nordic
159,2494,28279,THQ Nordic
160,3107,28279,THQ Nordic
161,312621,28279,THQ Nordic
162,3243,28279,THQ Nordic
163,34772,28279,THQ Nordic
164,4365,28279,THQ Nordic
165,4502,28279,THQ Nordic
166,4523,28279,THQ Nordic
167,4529,28279,THQ Nordic
168,49783,28279,THQ Nordic
169,58189,28279,THQ Nordic
170,6617,28279,THQ Nordic
171,6773,28279,THQ Nordic
172,680,28279,THQ Nordic
173,101176,35138,
174,1014,35138,
175,102364,35138,
176,102716,35138,
177,1079,35138,
178,1115,35138,
179,118627,35138,
180,130230,35138,
181,135398,35138,
182,1382,35138,
183,17,35138,
184,174696,35138,
185,174950,35138,
186,176009,35138,
187,176573,35138,
188,181731,35138,
189,182985,35138,
190,183838,35138,
191,192939,35138,
192,198093,35138,
193,199538,35138,
194,20887,35138,
195,209740,35138,
196,2104,35138,
197,221154,35138,
198,224596,35138,
199,2309,35138,
200,23350,35138,
201,23737,35138,
202,241038,35138,
203,241043,35138,
204,241044,35138,
205,241045,35138,
206,241047,35138,
207,2424,35138,
208,244688,35138,
209,244695,35138,
210,2459,35138,
211,249949,35138,
