GAME_ID,GENRE_ID,GENRE_NAME
4065,16,Strategy
40676,16,Strategy
4074,16,Strategy
4081,16,Strategy
40831,16,Strategy
40834,16,Strategy
40892,16,Strategy
40996,16,Strategy
41002,16,Strategy
41006,16,Strategy
41033,16,Strategy
4122,16,Strategy
41242,16,Strategy
4125,16,Strategy
41287,16,Strategy
41324,16,Strategy
41362,16,Strategy
41368,16,Strategy
41490,16,Strategy
41561,16,Strategy
41659,16,Strategy
41818,16,Strategy
4188,16,Strategy
41973,16,Strategy
4212,16,Strategy
421439,16,Strategy
42187,16,Strategy
42330,16,Strategy
427,16,Strategy
4285,16,Strategy
42952,16,Strategy
4300,16,Strategy
4319,16,Strategy
43440,16,Strategy
4398,16,Strategy
4438,16,Strategy
4445,16,Strategy
453515,16,Strategy
45677,16,Strategy
4571,16,Strategy
4679,16,Strategy
4715,16,Strategy
4719,16,Strategy
4731,16,Strategy
4749,16,Strategy
475979,16,Strategy
4767,16,Strategy
4957,16,Strategy
5005,16,Strategy
5009,16,Strategy
5084,16,Strategy
5085,16,Strategy
508510,16,Strategy
5103,16,Strategy
5106,16,Strategy
513032,16,Strategy
5163,16,Strategy
5169,16,Strategy
5189,16,Strategy
5195,16,Strategy
5203,16,Strategy
5204,16,Strategy
5222,16,Strategy
52675,16,Strategy
52732,16,Strategy
52969,16,Strategy
5312,16,Strategy
5315,16,Strategy
5350,16,Strategy
5352,16,Strategy
5358,16,Strategy
5360,16,Strategy
53651,16,Strategy
5378,16,Strategy
538,16,Strategy
5383,16,Strategy
5400,16,Strategy
5428,16,Strategy
54484,16,Strategy
54553,16,Strategy
5498,16,Strategy
5525,16,Strategy
56053,16,Strategy
5664,16,Strategy
5682,16,Strategy
5706,16,Strategy
57662,16,Strategy
57967,16,Strategy
5950,16,Strategy
6078,16,Strategy
6885,16,Strategy
7712,16,Strategy
773,16,Strategy
87432,16,Strategy
87795,16,Strategy
9539,16,Strategy
9564,16,Strategy
9845,16,Strategy
9920,16,Strategy
10040,4,Simulation
10065,4,Simulation
10243,4,Simulation
10261,4,Simulation
10311,4,Simulation
10715,4,Simulation
10717,4,Simulation
1090,4,Simulation
11043,4,Simulation
11076,4,Simulation
11387,4,Simulation
12010,4,Simulation
12092,4,Simulation
12320,4,Simulation
12939,4,Simulation
1337,4,Simulation
1347,4,Simulation
135398,4,Simulation
13589,4,Simulation
13732,4,Simulation
13759,4,Simulation
1391,4,Simulation
14015,4,Simulation
14016,4,Simulation
14026,4,Simulation
14027,4,Simulation
14064,4,Simulation
14072,4,Simulation
14081,4,Simulation
14625,4,Simulation
14815,4,Simulation
15686,4,Simulation
15825,4,Simulation
16118,4,Simulation
16915,4,Simulation
17160,4,Simulation
17282,4,Simulation
17634,4,Simulation
17646,4,Simulation
17735,4,Simulation
17839,4,Simulation
18103,4,Simulation
18232,4,Simulation
1827,4,Simulation
18515,4,Simulation
18706,4,Simulation
18719,4,Simulation
18720,4,Simulation
19046,4,Simulation
19069,4,Simulation
19096,4,Simulation
19193,4,Simulation
19194,4,Simulation
19224,4,Simulation
19226,4,Simulation
19230,4,Simulation
19277,4,Simulation
19345,4,Simulation
19351,4,Simulation
19381,4,Simulation
