,GAME_ID,PLATFORM_ID,PLATFORM_NAME
0,10040,47,Atari Flashback
1,10065,47,Atari Flashback
2,102364,47,Atari Flashback
3,10243,47,Atari Flashback
4,10311,47,Atari Flashback
5,10715,47,Atari Flashback
6,1077,47,Atari Flashback
7,10810,47,Atari Flashback
8,10824,47,Atari Flashback
9,1090,47,Atari Flashback
10,11043,47,Atari Flashback
11,1140,47,Atari Flashback
12,11934,47,Atari Flashback
13,12320,47,Atari Flashback
14,1256,47,Atari Flashback
15,1259,47,Atari Flashback
16,12741,47,Atari Flashback
17,12757,47,Atari Flashback
18,12877,47,Atari Flashback
19,12929,47,Atari Flashback
20,1299,47,Atari Flashback
21,1337,47,Atari Flashback
22,13464,47,Atari Flashback
23,13498,47,Atari Flashback
24,13537,47,Atari Flashback
25,13633,47,Atari Flashback
26,13694,47,Atari Flashback
27,13759,47,Atari Flashback
28,1447,47,Atari Flashback
29,14625,47,Atari Flashback
30,14963,47,Atari Flashback
31,15829,47,Atari Flashback
32,16255,47,Atari Flashback
33,16677,47,Atari Flashback
34,16792,47,Atari Flashback
35,17127,47,Atari Flashback
36,17295,47,Atari Flashback
37,17818,47,Atari Flashback
38,17839,47,Atari Flashback
39,17885,47,Atari Flashback
40,18080,47,Atari Flashback
41,18142,47,Atari Flashback
42,181731,47,Atari Flashback
43,18886,47,Atari Flashback
44,19069,47,Atari Flashback
45,19301,47,Atari Flashback
46,19381,47,Atari Flashback
47,19482,47,Atari Flashback
48,19531,47,Atari Flashback
49,1959,47,Atari Flashback
50,19628,47,Atari Flashback
51,22509,47,Atari Flashback
52,2255,47,Atari Flashback
53,2258,47,Atari Flashback
54,22996,47,Atari Flashback
55,23074,47,Atari Flashback
56,2310,47,Atari Flashback
57,2361,47,Atari Flashback
58,2386,47,Atari Flashback
59,24619,47,Atari Flashback
60,24915,47,Atari Flashback
61,2494,47,Atari Flashback
62,2572,47,Atari Flashback
63,29396,47,Atari Flashback
64,31080,47,Atari Flashback
65,31284,47,Atari Flashback
66,3129,47,Atari Flashback
67,32186,47,Atari Flashback
68,3251,47,Atari Flashback
69,3272,47,Atari Flashback
70,3358,47,Atari Flashback
71,3363,47,Atari Flashback
72,3439,47,Atari Flashback
73,3482,47,Atari Flashback
74,3543,47,Atari Flashback
75,3594,47,Atari Flashback
76,3656,47,Atari Flashback
77,3697,47,Atari Flashback
78,3775,47,Atari Flashback
79,382192,47,Atari Flashback
80,3931,47,Atari Flashback
81,4062,47,Atari Flashback
82,4122,47,Atari Flashback
83,4200,47,Atari Flashback
84,422,47,Atari Flashback
85,438276,47,Atari Flashback
86,4386,47,Atari Flashback
87,45677,47,Atari Flashback
